RPP,@RPPNoticias,POLITICA
LA REPUBLICA,@larepublica_pe,POLITICA
TV PERU NOTICIAS,@noticias_tvperu,POLITICA
CANAL N,@canalN_,GENERAL
AMERICA NOTICIAS,@noticiAmerica,GENERAL
ATV NOTICIAS,@atv_noticias,GENERAL
PANAMERICA TV,@PTV_Noticias,GENERAL
EL COMERCIO,@elcomercio_peru,GENERAL
EXITOSA NOTICIAS,@exitosape,GENERAL
PERU 21,@peru21noticias,GENERAL
LATINA NOTICIAS,@Latina_Noticias,GENERAL
AGENCIA ANDINA,@Agencia_Andina,GENERAL
LATINA NOTICIAS,@Latina_Noticias,GENERAL
DIARIO CORREO,@diariocorreo,GENERAL
DIARIO EL PERUANO,@DiarioElPeruano,GENERAL
DIARIO TROME,@tromepe,FARANDULA
POLITICA LREPUBLICA,@Politica_LR,POLITICA
DIARIO EXPRESO,@ExpresoPeru,POLITICA
ATV NOTICIAS,@atvmasnoticias,GENERAL
DIARIO EL BOCON,@elbocononline,DEPORTE
GOLPERU,@GOLPERUoficial,DEPORTE
MOVISTAR DEPORTES,@MovistarDeporPe,DEPORTE
DEPOR,@tuitdepor,DEPORTE
EN BOCA DE TODOS,@enbocadetodosof,FARANDULA
UTERO,@uterope,POLITICA
LA MULA,@lamula,POLITICA
WAYKA,@WaykaPeru,POLITICA
HILDEBRANT,@ensustrece,POLITICA
CUARTO PODER,@Cuarto_Poder,POLITICA
OJO PUBLICO,@Ojo_Publico,GENERAL
CONVOCA,@ConvocaPe,GENERAL
IDL-REPORTEROS,@IDL_R,POLITICA
SONQO DEPORTES PERU,@Sonqodeportes,DEPORTE
PASE FILTRADO,@pasefiltradope,DEPORTE
PULSO SPORTS PERU,@PulsoSportsPeru,DEPORTE
DIARIO EXTRA -PERU,@EXTRA_Peru,GENERAL
PERU NEWS,@PeruNews,GENERAL
POLITICA EL COMERCIO,@Politica_ECpe,POLITICA
ESTAS EN TODAS,@EstasenTodas,FARANDULA
AMERICA ESPECTACULOS,@AEspectaculos,FARANDULA
MAGALY TV LA FIRME,@MagalyTvLaFirme,FARANDULA
AMERICA HOY ,@americahoytv,FARANDULA
DIARIO OJO,@diarioojo,FARANDULA
EL POPULAR,@elpopular_pe,FARANDULA
LRENTRETENIMIENTO,@LRTendencias,FARANDULA
TV+ EL COMERCIO,@TVmas_ECpe,FARANDULA
NOTICIAS TELEMUNDO,@TelemundoNews,MUNDIAL
UNIVISION NOTICIAS,@UniNoticias,MUNDIAL
BBC NEWS TELEMUNDO,@bbcmundo,MUNDIAL
DW ESPAÑOL,@dw_espanol,MUNDIAL
AP NOTICIAS,@AP_Noticias,MUNDIAL
TELESUR TV,@teleSURtv,MUNDIAL
EL PAIS AMERICA,@elpais_america,MUNDIAL
